_id,UN_VOL_AV,ID_EDIF,area,proprieta,Classifica,LONG_X_4326_CENTROID,LAT_Y_4326_CENTROID,Location
155,7.515,E00000001303,20.9132,Dato non in possesso,Insediamenti residenziali,9.23908223609681,45.503691364844215,"(45.503691364844215, 9.23908223609681)"
156,25.815,E00000001382,580.527,Dato non in possesso,Insediamenti residenziali,9.22135092110032,45.5040054498084,"(45.5040054498084, 9.22135092110032)"
157,31.035,E00000000587,270.947,Dato non in possesso,Insediamenti residenziali,9.228656516980523,45.496903252744964,"(45.496903252744964, 9.228656516980523)"
158,4.17,E00000000588,173.044,Dato non in possesso,Insediamenti residenziali,9.228130126922002,45.49722520836168,"(45.49722520836168, 9.228130126922002)"
159,23.895,E00000000914,158.448,Dato non in possesso,Insediamenti residenziali,9.238920832341934,45.49998441340528,"(45.49998441340528, 9.238920832341934)"
160,13.515,E00000000700,45.4918,Dato non in possesso,Insediamenti residenziali,9.226259226382071,45.497558888098716,"(45.497558888098716, 9.226259226382071)"
161,5.574,E00000001622,356.764,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.229239747030903,45.50521382291189,"(45.50521382291189, 9.229239747030903)"
162,20.88,E00000001400,78.6317,Dato non in possesso,Insediamenti residenziali,9.243766236689087,45.50446589281917,"(45.50446589281917, 9.243766236689087)"
163,4.773,E00000000866,172.136,Dato non in possesso,Insediamenti residenziali,9.22160509107634,45.4993601795381,"(45.4993601795381, 9.22160509107634)"
164,23.776,E00000002155,192.544,Dato non in possesso,Insediamenti residenziali,9.244120510933774,45.507847905787024,"(45.507847905787024, 9.244120510933774)"
165,18.135,E00000001489,38.5244,Dato non in possesso,Insediamenti residenziali,9.241746509326987,45.503899022621304,"(45.503899022621304, 9.241746509326987)"
166,31.47,E00000000710,315.498,Dato non in possesso,Insediamenti residenziali,9.236300634503873,45.49711580117906,"(45.49711580117906, 9.236300634503873)"
167,5.02,E00000000207,342.213,Dato non in possesso,Insediamenti residenziali,9.245855359963336,45.509011452420225,"(45.509011452420225, 9.245855359963336)"
168,7.11,E00000001324,125.46,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.240891659880708,45.503644283768615,"(45.503644283768615, 9.240891659880708)"
169,29.717,E00000002155,448.045,Dato non in possesso,Insediamenti residenziali,9.24452753677342,45.50770653238365,"(45.50770653238365, 9.24452753677342)"
170,14.08,E00000001414,128.499,Dato non in possesso,Insediamenti residenziali,9.243205258176395,45.504192415679626,"(45.504192415679626, 9.243205258176395)"
171,5.45,E00000000735,57.5878,Dato non in possesso,Insediamenti residenziali,9.225963137250739,45.49843497137967,"(45.49843497137967, 9.225963137250739)"
172,21.345,E00000001489,39.182,Dato non in possesso,Insediamenti residenziali,9.241773554430567,45.5039195906588,"(45.5039195906588, 9.241773554430567)"
173,30.72,E00000000583,361.775,Dato non in possesso,Insediamenti residenziali,9.229329697107124,45.4961803780706,"(45.4961803780706, 9.229329697107124)"
174,30.99,E00000000588,268.448,Dato non in possesso,Insediamenti residenziali,9.228084223589127,45.497387774951406,"(45.497387774951406, 9.228084223589127)"
175,31.77,E00000000710,309.815,Dato non in possesso,Insediamenti residenziali,9.235847145603978,45.49740860856731,"(45.49740860856731, 9.235847145603978)"
176,5.223,E00000000990,281.825,Dato non in possesso,"Insediamenti industriali, artigianali, commerciali",9.234891411880504,45.50088629785162,"(45.50088629785162, 9.234891411880504)"
177,4.88,E00000000320,59.7362,Dato non in possesso,Insediamenti residenziali,9.221740741156315,45.49374156851901,"(45.49374156851901, 9.221740741156315)"
178,20.68,E00000001400,63.3644,Dato non in possesso,Insediamenti residenziali,9.244157811297473,45.50450762832863,"(45.50450762832863, 9.244157811297473)"
179,30.578,E00000000580,349.923,Dato non in possesso,Insediamenti residenziali,9.228727880758946,45.49573152852717,"(45.49573152852717, 9.228727880758946)"
180,3.54,E00000000642,111.593,Dato non in possesso,Insediamenti residenziali,9.249365149900472,45.50961892199434,"(45.50961892199434, 9.249365149900472)"
181,4.545,E00000000008,3223.29,COMUNE MILANO,Servizi pubblici,9.256993812995292,45.49742833645546,"(45.49742833645546, 9.256993812995292)"
182,21.74,E00000003240,376.307,COMUNE MILANO,Insediamenti residenziali,9.247489447683979,45.518421192627635,"(45.518421192627635, 9.247489447683979)"
183,4.12,E00000003020,1418.01,Dato non in possesso,Insediamenti residenziali,9.245560935926827,45.51607765126893,"(45.51607765126893, 9.245560935926827)"
